28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,28,28,28,28,28
28,28,28,28,30,28,30,30,30,30,30,30,30,133,1,32,28,28,28,28
28,28,30,31,1,5,1,1,3,1,1,1,1,1,1,32,30,30,28,28
28,31,1,34,1,5,1,42,1,1,2,34,1,1,3,1,1,2,32,28
28,31,1,3,3,26,1,16,3,1,1,3,1,34,1,18,36,1,32,28
30,31,1,18,34,5,3,16,1,34,1,1,3,2,1,16,1,3,3,32
1,1,35,24,19,5,1,16,3,21,22,15,15,15,22,24,34,1,1,1
7,4,4,4,27,9,112,16,3,2,34,3,1,34,16,3,1,18,44,1
9,1,1,34,16,1,1,16,1,2,1,3,18,15,24,22,15,24,44,1
1,39,22,15,24,22,15,20,3,1,2,1,16,1,1,16,34,1,1,7
1,39,20,1,3,16,34,1,3,34,2,3,16,112,7,27,4,4,4,9
1,1,1,34,22,24,15,15,15,24,19,3,16,1,5,21,22,35,1,1
31,3,3,1,16,1,2,3,1,1,34,1,16,3,5,34,20,1,32,29
28,31,1,36,20,1,34,1,3,1,1,3,16,1,26,3,3,1,32,28
28,31,2,1,1,3,1,1,34,2,1,1,47,1,5,1,34,1,32,28
28,28,29,29,31,1,1,1,1,1,1,3,1,1,5,1,32,29,28,28
28,28,28,28,31,1,133,29,29,29,29,29,29,29,28,29,28,28,28,28
28,28,28,28,28,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28
